	flag_leaf_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN63	8.44	8.59	0.31	6.03	5.92	0.34	8.01	7.92	0.45	4.67	4.47	0.17

	height
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	107.05	98.27	0	123.93	116.31	0	101.83	91.93	0	83.86	81.03	0.09
WGN15	125.54	122.93	0.13	138.19	137.79	0.8	121.03	120.99	0.98	96.67	96.32	0.82
WGN26	119.88	115.4	0.05	137.42	135.75	0.39	114.12	108.4	0.02	94.53	91.92	0.09
WGN36	113.87	113.73	0.94	136.06	134.69	0.47	108.67	106.84	0.43	90.26	90.1	0.92
WGN38	109.82	104.15	0.01	131.64	126.77	0.03	103.06	94.92	0.01	90.71	86.69	0.04
WGN39	124.11	127.75	0.03	136.89	138.54	0.3	119.59	119.54	0.98	93.03	94.76	0.36
WGN45	117.82	120.56	0.26	135.86	137.3	0.57	111.41	115.98	0.1	97.35	96.91	0.82
WGN46	117.12	111.59	0.02	134.49	130.51	0.03	113.38	108.25	0.05	92.27	89.04	0.02
WGN55	120.79	118.82	0.19	141.31	139.19	0.14	119.09	115.5	0.14	90.19	89.4	0.62
WGN63	131.32	128.36	0.04	147.38	144.11	0.02	122.09	124.43	0.27	100.38	98.08	0.14

	reproductive_tiller_ct
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	70.12	54.48	0	155.21	136.2	0.03	90.75	77.98	0.01	65.28	60.11	0.28
WGN15	78.81	66.76	0	182.5	166.15	0.05	102.22	102.12	0.98	91.81	95.85	0.54
WGN26	50.65	43.88	0.14	123.75	100.75	0.01	78.22	63.58	0	73.48	58.22	0.01
WGN36	70.02	61.19	0.05	153.2	135.7	0.03	90.35	91.46	0.82	75.07	76.2	0.86
WGN38	81.2	70.75	0.08	171.22	151.29	0.02	103.48	87.78	0.03	90.91	82.09	0.18
WGN39	100.83	99.46	0.78	202.44	204.1	0.83	123.07	122.24	0.87	75.2	74.3	0.88
WGN45	42.46	51.48	0.12	120.4	137.45	0.12	67.45	74.75	0.21	80.92	85.62	0.44
WGN46	81.21	82.63	0.77	165.54	158.31	0.25	104	93.78	0.04	88.14	79.32	0.12
WGN55	75.22	78.16	0.42	193.66	188.47	0.44	101.59	106.61	0.32	67.52	67.79	0.96
WGN63	88.02	84.54	0.37	201.1	196.03	0.48	113.43	119.02	0.21	94.11	96.22	0.69

	seed_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	7.94	7.84	0.34	7.05	7.02	0.78	7.14	7.18	0.72	6.1	6.19	0.54
WGN15	8.78	8.56	0.05	7.75	7.81	0.46	8.05	8.08	0.79	6.35	6.07	0.38
WGN26	9.21	9.47	0.05	8.22	8.49	0.01	8.41	8.58	0.2	6.36	6.79	0
WGN36	8.81	8.78	0.82	8.01	7.98	0.82	8.13	8.01	0.31	6.32	6.29	0.83
WGN38	8.65	8.61	0.77	7.84	7.95	0.31	7.81	7.81	0.99	6.04	6.38	0.09
WGN39	9.15	9.1	0.72	8.35	8.32	0.83	8.48	8.47	0.93	6.87	6.97	0.45
WGN45	8.43	8.45	0.86	7.63	7.62	0.96	7.43	7.51	0.45	6.24	5.95	0.05
WGN46	8.57	8.39	0.09	7.79	7.66	0.11	7.57	7.4	0.09	6.24	6.12	0.24
WGN55	8.65	8.49	0.14	7.66	7.65	0.9	7.64	7.5	0.07	5.86	5.9	0.68
WGN63	9.6	9.43	0.17	8.77	8.61	0.11	8.74	8.68	0.59	7.11	6.99	0.54

	seeds_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	4.25	4.1	0.26	3.63	3.54	0.47	3.46	2.96	0	0.12	0.11	0.77
WGN15	4.25	4.18	0.6	3.63	3.46	0.08	3.29	3.1	0.08	0.07	0.05	0.29
WGN26	4.15	4.13	0.86	3.65	3.92	0.05	3.25	3.23	0.87	0.19	0.13	0.02
WGN36	4.16	4.25	0.51	3.82	4.01	0.17	3.06	2.98	0.59	0.13	0.14	0.95
WGN38	4.06	3.99	0.63	3.57	3.61	0.77	3.16	2.67	0	0.17	0.11	0.1
WGN39	4.37	4.31	0.74	3.67	3.55	0.39	3	2.9	0.5	0.1	0.09	0.86
WGN45	4.07	3.87	0.26	3.59	3.48	0.43	3.12	3.17	0.75	0.14	0.1	0.1
WGN46	4.57	4.49	0.56	3.98	3.99	0.92	3.41	3.33	0.49	0.26	0.2	0.14
WGN55	4.36	4.29	0.47	3.88	3.78	0.3	3.2	3.13	0.52	0.12	0.14	0.47
WGN63	3.75	3.91	0.17	3.39	3.53	0.18	2.75	2.8	0.63	0.09	0.06	0.14

	spikelet_density
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.89	0.91	0.22	0.95	0.96	0.48	0.8	0.81	0.43	0.99	1.03	0.08
WGN15	0.73	0.74	0.43	0.78	0.77	0.53	0.66	0.67	0.52	0.85	0.86	0.37
WGN26	0.74	0.69	0	0.77	0.71	0	0.65	0.63	0.11	0.9	0.81	0
WGN36	0.76	0.77	0.46	0.8	0.81	0.51	0.69	0.69	0.83	0.94	0.94	0.97
WGN38	0.83	0.8	0.08	0.85	0.82	0.1	0.71	0.72	0.58	0.97	0.95	0.57
WGN39	0.73	0.74	0.5	0.81	0.8	0.89	0.63	0.63	0.91	0.89	0.88	0.83
WGN45	0.77	0.77	0.95	0.84	0.84	0.66	0.73	0.72	0.58	0.98	0.96	0.31
WGN46	0.82	0.83	0.77	0.9	0.92	0.29	0.7	0.71	0.82	0.97	0.97	0.71
WGN55	0.81	0.82	0.36	0.89	0.9	0.57	0.74	0.74	0.63	1	0.98	0.54
WGN63	0.75	0.75	0.74	0.79	0.78	0.88	0.68	0.68	0.93	0.92	0.93	0.58

	spikelets_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	22.81	21.92	0.01	21.94	21.35	0.08	29.13	28.47	0.14	23.63	23.98	0.45
WGN15	20.29	19.4	0.01	19.13	18.72	0.19	25.79	25.87	0.82	21.64	21.82	0.61
WGN26	19.95	19.32	0.12	19.5	18.47	0.01	25.94	24.51	0	23.17	21.97	0
WGN36	21.41	21.39	0.96	20.68	20.42	0.45	27.04	27.18	0.75	23.53	23.78	0.56
WGN38	22.47	21.71	0.14	21.81	21.23	0.13	27.63	27.92	0.58	23.89	23.72	0.72
WGN39	20.79	21.33	0.09	20.71	20.99	0.39	25.81	26.55	0.08	23.84	24.2	0.39
WGN45	20.36	21.07	0.13	19.74	19.86	0.79	27.25	28.03	0.15	25.09	25.17	0.83
WGN46	22.85	22.24	0.1	22.11	21.95	0.66	29.06	28.47	0.17	25.01	25.4	0.31
WGN55	22.68	22.75	0.82	21.09	20.95	0.69	28.99	28.56	0.3	25.12	25.27	0.7
WGN63	21.38	20.82	0.1	20.37	19.87	0.08	27.22	27.19	0.95	24.22	23.94	0.43

	stem_diameter
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	2.25	2.23	0.76	1.64	1.65	0.87	3.18	3.14	0.53	1.95	1.96	0.71
WGN15	2.19	2.05	0	1.61	1.58	0.23	3.04	2.96	0.09	1.82	1.76	0.17
WGN26	2.22	2.37	0.01	1.74	1.78	0.38	3.15	3.25	0.08	1.97	2.09	0
WGN36	2.33	2.35	0.75	1.72	1.72	0.78	3.17	3.21	0.45	1.93	1.94	0.76
WGN38	2.34	2.42	0.13	1.7	1.73	0.47	3.24	3.19	0.42	1.94	1.96	0.67
WGN39	2.35	2.43	0.04	1.8	1.82	0.48	3.11	3.18	0.19	1.96	2.01	0.29
WGN45	2.2	2.25	0.48	1.67	1.66	0.77	3.18	3.22	0.52	1.98	1.99	0.84
WGN46	2.49	2.5	0.78	1.81	1.81	0.85	3.36	3.35	0.89	2.1	2.15	0.16
WGN55	2.38	2.37	0.96	1.68	1.69	0.64	3.18	3.17	0.79	2	2.05	0.23
WGN63	2.36	2.31	0.27	1.77	1.75	0.63	3.21	3.1	0.01	1.99	1.92	0.06

	thousand_grain_weight
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	8.43	8.43	1	7.29	7.35	0.7	6.77	7.05	0.07	5.3	5.2	0.6
WGN15	9.7	9.29	0.03	8.2	8.23	0.83	7.9	8.04	0.37	5.38	5.22	0.69
WGN26	9.54	10	0.03	8.26	8.74	0	8.15	8.57	0.02	5.49	5.99	0.02
WGN36	9.57	9.32	0.18	8.64	8.37	0.15	8.33	7.92	0.01	5.64	5.4	0.23
WGN38	9.33	9.35	0.95	8.39	8.68	0.13	7.69	7.71	0.93	5.18	5.46	0.16
WGN39	10.04	9.96	0.76	8.96	8.83	0.52	8.56	8.52	0.85	6.07	6.14	0.7
WGN45	9.18	9.17	0.97	8.06	8.12	0.73	7.28	7.54	0.13	5.55	5.38	0.27
WGN46	9.22	9.11	0.44	8.25	8.19	0.61	7.29	7.16	0.43	5.4	5.22	0.29
WGN55	9.27	9.03	0.14	7.97	7.94	0.85	7.6	7.47	0.35	5.01	5.28	0.11
WGN63	10.84	10.64	0.24	9.6	9.4	0.17	8.86	9.01	0.4	6.36	6.44	0.72

	yield_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.76	0.7	0.06	0.55	0.53	0.41	0.62	0.53	0	0.02	0.02	0.78
WGN15	0.76	0.69	0.03	0.53	0.48	0.03	0.58	0.56	0.26	0.01	0.01	0.24
WGN26	0.71	0.71	0.81	0.54	0.57	0.23	0.6	0.58	0.49	0.02	0.02	0.1
WGN36	0.77	0.76	0.78	0.63	0.63	0.95	0.6	0.57	0.27	0.02	0.02	0.68
WGN38	0.78	0.73	0.19	0.59	0.59	0.92	0.58	0.49	0.02	0.02	0.01	0.11
WGN39	0.83	0.84	0.83	0.62	0.59	0.4	0.59	0.58	0.78	0.02	0.01	0.7
WGN45	0.72	0.7	0.65	0.56	0.54	0.56	0.56	0.6	0.15	0.02	0.01	0.05
WGN46	0.87	0.83	0.15	0.68	0.67	0.49	0.64	0.59	0.05	0.04	0.03	0.13
WGN55	0.86	0.83	0.42	0.63	0.6	0.22	0.65	0.61	0.16	0.02	0.02	0.28
WGN63	0.8	0.79	0.68	0.61	0.61	0.98	0.59	0.61	0.57	0.02	0.01	0.03

