	flag_leaf_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN15	20.29	19.4	0.01	19.13	18.72	NS	25.79	25.87	NS	21.64	21.82	NS
WGN26	19.95	19.32	NS	19.5	18.47	0.01	25.94	24.51	0	23.17	21.97	0
WGN36	21.41	21.39	NS	20.68	20.42	NS	27.04	27.18	NS	23.53	23.78	NS
WGN38	22.47	21.71	NS	21.81	21.23	NS	27.63	27.92	NS	23.89	23.72	NS
WGN39	20.79	21.33	NS	20.71	20.99	NS	25.81	26.55	NS	23.84	24.2	NS
WGN45	20.36	21.07	NS	19.74	19.86	NS	27.25	28.03	NS	25.09	25.17	NS
WGN46	22.85	22.24	NS	22.11	21.95	NS	29.06	28.47	NS	25.01	25.4	NS
WGN55	22.68	22.75	NS	21.09	20.95	NS	28.99	28.56	NS	25.12	25.27	NS
WGN63	21.38	20.82	NS	20.37	19.87	NS	27.22	27.19	NS	24.22	23.94	NS

	stem_diameter
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	2.25	2.23	NS	1.64	1.65	NS	3.18	3.14	NS	1.95	1.96	NS
WGN15	2.19	2.05	0	1.61	1.58	NS	3.04	2.96	NS	1.82	1.76	NS
WGN26	2.22	2.37	0.01	1.74	1.78	NS	3.15	3.25	NS	1.97	2.09	0
WGN36	2.33	2.35	NS	1.72	1.72	NS	3.17	3.21	NS	1.93	1.94	NS
WGN38	2.34	2.42	NS	1.7	1.73	NS	3.24	3.19	NS	1.94	1.96	NS
WGN39	2.35	2.43	0.04	1.8	1.82	NS	3.11	3.18	NS	1.96	2.01	NS
WGN45	2.2	2.25	NS	1.67	1.66	NS	3.18	3.22	NS	1.98	1.99	NS
WGN46	2.49	2.5	NS	1.81	1.81	NS	3.36	3.35	NS	2.1	2.15	NS
WGN55	2.38	2.37	NS	1.68	1.69	NS	3.18	3.17	NS	2	2.05	NS
WGN63	2.36	2.31	NS	1.77	1.75	NS	3.21	3.1	0.01	1.99	1.92	NS

	thousand_grain_weight
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	8.43	8.43	NS	7.29	7.35	NS	6.77	7.05	NS	5.3	5.2	NS
WGN15	9.7	9.29	0.03	8.2	8.23	NS	7.9	8.04	NS	5.38	5.22	NS
WGN26	9.54	10	0.03	8.26	8.74	0	8.15	8.57	0.02	5.49	5.99	0.02
WGN36	9.57	9.32	NS	8.64	8.37	NS	8.33	7.92	0.01	5.64	5.4	NS
WGN38	9.33	9.35	NS	8.39	8.68	NS	7.69	7.71	NS	5.18	5.46	NS
WGN39	10.04	9.96	NS	8.96	8.83	NS	8.56	8.52	NS	6.07	6.14	NS
WGN45	9.18	9.17	NS	8.06	8.12	NS	7.28	7.54	NS	5.55	5.38	NS
WGN46	9.22	9.11	NS	8.25	8.19	NS	7.29	7.16	NS	5.4	5.22	NS
WGN55	9.27	9.03	NS	7.97	7.94	NS	7.6	7.47	NS	5.01	5.28	NS
WGN63	10.84	10.64	NS	9.6	9.4	NS	8.86	9.01	NS	6.36	6.44	NS

	yield_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.76	0.7	NS	0.55	0.53	NS	0.62	0.53	0	0.02	0.02	NS
WGN15	0.76	0.69	0.03	0.53	0.48	0.03	0.58	0.56	NS	0.01	0.01	NS
WGN26	0.71	0.71	NS	0.54	0.57	NS	0.6	0.58	NS	0.02	0.02	NS
WGN36	0.77	0.76	NS	0.63	0.63	NS	0.6	0.57	NS	0.02	0.02	NS
WGN38	0.78	0.73	NS	0.59	0.59	NS	0.58	0.49	0.02	0.02	0.01	NS
WGN39	0.83	0.84	NS	0.62	0.59	NS	0.59	0.58	NS	0.02	0.01	NS
WGN45	0.72	0.7	NS	0.56	0.54	NS	0.56	0.6	NS	0.02	0.01	0.05
WGN46	0.87	0.83	NS	0.68	0.67	NS	0.64	0.59	0.05	0.04	0.03	NS
WGN55	0.86	0.83	NS	0.63	0.6	NS	0.65	0.61	NS	0.02	0.02	NS
WGN63	0.8	0.79	NS	0.61	0.61	NS	0.59	0.61	NS	0.02	0.01	0.03

